Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ZavaLoanPortal.csproj,File,Login.aspx.cs,0,288,P:System.Web.UI.Page.Response,,,,,"Response.Redirect(ResolveClientUrl(returnUrl),false);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ZavaLoanPortal.csproj,File,Login.aspx.cs,0,288,"M:System.Web.HttpResponse.Redirect(System.String,System.Boolean)",,,,,"Response.Redirect(ResolveClientUrl(returnUrl),false);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ZavaLoanPortal.csproj,File,Login.aspx.cs,0,260,T:System.Web.HttpRequest,,,,,"if(Request.IsAuthenticated){Response.Redirect(ResolveClientUrl(returnUrl),false);Context.ApplicationInstance.CompleteRequest();return;}"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ZavaLoanPortal.csproj,File,Login.aspx.cs,0,260,P:System.Web.UI.Page.Request,,,,,"if(Request.IsAuthenticated){Response.Redirect(ResolveClientUrl(returnUrl),false);Context.ApplicationInstance.CompleteRequest();return;}"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ZavaLoanPortal.csproj,File,Login.aspx.cs,0,260,P:System.Web.HttpRequest.IsAuthenticated,,,,,"if(Request.IsAuthenticated){Response.Redirect(ResolveClientUrl(returnUrl),false);Context.ApplicationInstance.CompleteRequest();return;}"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ZavaLoanPortal.csproj,File,Login.aspx.cs,0,186,T:System.Web.HttpRequest,,,,,"var returnUrl=(Request.QueryString[""ReturnUrl""]??""~/Default.aspx"").Trim();"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ZavaLoanPortal.csproj,File,Login.aspx.cs,0,186,P:System.Web.UI.Page.Request,,,,,"var returnUrl=(Request.QueryString[""ReturnUrl""]??""~/Default.aspx"").Trim();"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ZavaLoanPortal.csproj,File,Login.aspx.cs,0,186,P:System.Web.HttpRequest.QueryString,,,,,"var returnUrl=(Request.QueryString[""ReturnUrl""]??""~/Default.aspx"").Trim();"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ZavaLoanPortal.csproj,File,Login.aspx.cs,0,129,M:System.Web.UI.Page.#ctor,,,,,Page
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ZavaLoanPortal.csproj,File,Login.aspx.cs,0,129,T:System.Web.UI.Page,,,,,Page
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ZavaLoanPortal.csproj,File,Default.aspx.designer.cs,0,1236,T:System.Web.UI.WebControls.GridView,,,,,gvLoanHistory
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ZavaLoanPortal.csproj,File,Default.aspx.designer.cs,0,1163,T:System.Web.UI.WebControls.Label,,,,,lblSubmissionStatus
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ZavaLoanPortal.csproj,File,Default.aspx.designer.cs,0,1092,T:System.Web.UI.WebControls.Label,,,,,lblSubmitStepMessage
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ZavaLoanPortal.csproj,File,Default.aspx.designer.cs,0,1025,T:System.Web.UI.WebControls.Label,,,,,lblReviewSummary
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ZavaLoanPortal.csproj,File,Default.aspx.designer.cs,0,964,T:System.Web.UI.WebControls.TextBox,,,,,txtPurpose
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ZavaLoanPortal.csproj,File,Default.aspx.designer.cs,0,898,T:System.Web.UI.WebControls.TextBox,,,,,txtTermMonths
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ZavaLoanPortal.csproj,File,Default.aspx.designer.cs,0,827,T:System.Web.UI.WebControls.TextBox,,,,,txtRequestedAmount
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ZavaLoanPortal.csproj,File,Default.aspx.designer.cs,0,760,T:System.Web.UI.WebControls.DropDownList,,,,,ddlLoanProduct
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ZavaLoanPortal.csproj,File,Default.aspx.designer.cs,0,687,T:System.Web.UI.WebControls.TextBox,,,,,txtAnnualIncome
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ZavaLoanPortal.csproj,File,Default.aspx.designer.cs,0,618,T:System.Web.UI.WebControls.TextBox,,,,,txtYearsEmployed
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ZavaLoanPortal.csproj,File,Default.aspx.designer.cs,0,554,T:System.Web.UI.WebControls.TextBox,,,,,txtJobTitle
